# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       6.861334464875e+13       1.605530816809e-25       6.755726644769e-09       1.015727552770e+22       1.294251882442e+04       1.886297613195e-10       8.880295047232e+17       3.900054979824e-09       6.098365253900e+43       5.123551241067e+32       5.869518311919e+33       3.236176255929e-08       4.218659360024e+43       1.031702461456e+44       3.233164571089e-06       2.654751139931e+00 
       6.813638991931e+13       1.628086919254e-25       6.803020369262e-09       1.001655297496e+22       1.294251882442e+04       1.899501696487e-10       8.818565091591e+17       3.927355364682e-09       5.930557897776e+43       5.017445598022e+32       5.747964142642e+33       3.236176255929e-08       4.102575451612e+43       1.003313335001e+44       3.293037989072e-06       2.606482937387e+00 
       6.766275066466e+13       1.650959912383e-25       6.850314093754e-09       9.877780043134e+21       1.294251882442e+04       1.912798208362e-10       8.757264241898e+17       3.954846852235e-09       5.767368059232e+43       4.913537338580e+32       5.628927286591e+33       3.236176255929e-08       3.989685798209e+43       9.757053858053e+43       3.352911407056e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154248192e-25       6.897607818246e-09       9.740929721479e+21       1.294251882442e+04       1.926187795821e-10       8.696389515290e+17       3.982530780200e-09       5.608668679066e+43       4.811780956257e+32       5.512355611731e+33       3.236176255929e-08       3.879902504213e+43       9.488571183879e+43       3.412784825039e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674441224e-25       6.946720532142e-09       9.605975373459e+21       1.294251882442e+04       1.939671110392e-10       8.635937949643e+17       4.010408495661e-09       5.454336194339e+43       4.712131886982e+32       5.398198065655e+33       3.236176255929e-08       3.773140092625e+43       9.227476287550e+43       3.472658243022e-06       2.471664854419e+00 
       6.626149607938e+13       1.721525069449e-25       6.994014256634e-09       9.472890731573e+21       1.294251882442e+04       1.953248808165e-10       8.575906603419e+17       4.038481355130e-09       5.304250442161e+43       4.614546489577e+32       5.286404653217e+33       3.236176255929e-08       3.669315438497e+43       8.973565881233e+43       3.532531661005e-06       2.429772229768e+00 
       6.580088985043e+13       1.745710775149e-25       7.043126970530e-09       9.341649892239e+21       1.294251882442e+04       1.966921549822e-10       8.516292555530e+17       4.066750724616e-09       5.158294566141e+43       4.518982026649e+32       5.176926414641e+33       3.236176255929e-08       3.568347704214e+43       8.726642270918e+43       3.592405078988e-06       2.389276025939e+00 
       6.534348545226e+13       1.770236265829e-25       7.092239684425e-09       9.212227310753e+21       1.294251882442e+04       1.980690000670e-10       8.457092905194e+17       4.095217979688e-09       5.016354925399e+43       4.425396645868e+32       5.069715404078e+33       3.236176255929e-08       3.470158276548e+43       8.486513202498e+43       3.652278496971e-06       2.350107566498e+00 
       6.488926062786e+13       1.795106315128e-25       7.143171387725e-09       9.084597796314e+21       1.294251882442e+04       1.994554830675e-10       8.398304771791e+17       4.123884505545e-09       4.878321006083e+43       4.333749361641e+32       4.964724668610e+33       3.236176255929e-08       3.374670705457e+43       8.252991712080e+43       3.712151914954e-06       2.312202605748e+00 
       6.443819327494e+13       1.820325763749e-25       7.192284101620e-09       8.958736507128e+21       1.294251882442e+04       2.008516714490e-10       8.339925294728e+17       4.152751697084e-09       4.744085335330e+43       4.244000037163e+32       4.861908227685e+33       3.236176255929e-08       3.281810644556e+43       8.025895980415e+43       3.772025332937e-06       2.275500977085e+00 
